	gene symbol	chromosome	gene start
157	MCOLN2	1	84925583
158	ST6GALNAC5	1	76867480
159	ATG4C	1	62784132
160	ASB17	1	75918873
161	ADGRL4	1	78889764
162	GJA9	1	38874069
163	MTF1	1	37809574
164	TTLL7	1	83865024
165	KDM4A	1	43650149
167	ZNHIT6	1	85649417
168	MROH7	1	54641754
169	PTGFR	1	78303884
170	LMO4	1	87328880
171	PRPF38A	1	52404602
172	PIGK	1	77088989
173	ST6GALNAC3	1	76074746
174	GUCA2A	1	42162690
175	DOCK7	1	62454298
176	NEGR1	1	71395943
177	FAAH	1	46394317
178	KYAT3	1	88935773
179	SHISAL2A	1	52633168
181	DNTTIP2	1	93866284
182	PTPRF	1	43525187
183	DHCR24	1	54849627
184	COL24A1	1	85729233
185	BSND	1	54998933
186	GPX7	1	52602371
187	SLC44A3	1	94820342
188	PKN2	1	88684222
189	ABCD3	1	94418389
190	MROH7-TTC4	1	54641786
191	ALG14	1	94974405
192	ZZZ3	1	77562416
193	YIPF1	1	53851719
194	LDLRAD1	1	54007298
196	GJB4	1	34759740
197	TMEM125	1	43269983
198	DMRTA2	1	50417550
199	HIVEP3	1	41506365
200	TM2D1	1	61681046
201	SCP2	1	52927276
202	BCAR3	1	93561741
203	BARHL2	1	90711539
204	DMAP1	1	44213455
205	AHCYL1	1	109984765
206	CNN3	1	94896949
207	VAV3	1	107571161
208	DPYD	1	97077743
209	TLCD4	1	95117355
210	POU3F1	1	38043829
211	LRRC8D	1	89821014
212	S1PR1	1	101236865
213	ELAPOR1	1	109113679
214	ARHGAP29	1	94148988
215	PGM1	1	63593411
216	IGSF21	1	18107798
217	COA7	1	52684449
218	OLFML3	1	113979391
219	GCLM	1	93885199
220	TGFBR3	1	91680343
221	SZT2	1	43389882
222	PHTF1	1	113696831
223	F3	1	94529173
224	VCAM1	1	100719742
225	GPR88	1	100538139
226	RWDD3	1	95234210
227	MAN1A2	1	117367449
228	LPAR3	1	84811602
229	CTTNBP2NL	1	112396214
230	STRIP1	1	110031577
231	SLC25A24	1	108134043
232	PIFO	1	111346600
233	TSPAN2	1	115048011
234	LRIG2	1	113073198
235	SLC35A3	1	99969351
236	AGL	1	99850361
237	SLC6A17	1	110150494
238	HSD3B2	1	119414931
239	RNPC3	1	103525691
240	SNX7	1	98661701
241	SLC30A7	1	100896076
242	SEC22B	1	120150898
243	PTGFRN	1	116909916
244	BCAS2	1	114567557
245	ZNF326	1	89995110
246	TRIM45	1	117111060
247	VANGL1	1	115641970
248	TENT5C	1	117606048
249	SYCP1	1	114854863
250	PIP5K1A	1	151197949
251	GDAP2	1	117863485
252	TSHB	1	115029826
253	WDR3	1	117929720
254	SLC22A15	1	115976513
255	SCNM1	1	151156664
256	FLG	1	152302165
257	ALX3	1	110059870
258	NHLH2	1	115836377
259	TRIM33	1	114392790
260	CDC14A	1	100345001
261	CD53	1	110871188
262	FLG2	1	152348735
263	SRGAP2C	1	121184811
264	SPAG17	1	117953590
265	TTF2	1	117060326
266	MAGI3	1	113390515
267	UBL4B	1	110112443
268	GABPB2	1	151070578
269	CD5L	1	157830911
270	LYSMD1	1	151159748
271	DENND2C	1	114582848
272	CD2	1	116754430
273	DEPDC1	1	68474152
274	GPR89A	1	145607988
275	GTF2B	1	88852633
276	TNFSF4	1	173183731
277	KCNJ9	1	160081538
278	CSF1	1	109910242
279	TNFAIP8L2	1	151156649
280	IGSF8	1	160091340
281	MPC2	1	167916675
282	TLCD4-RWDD3	1	95117923
283	C1orf112	1	169662007
284	FAM78B	1	166057426
285	LAMC1	1	183023420
286	MGST3	1	165631213
287	CASQ1	1	160190575
288	ILF2	1	153661788
289	TIPRL	1	168178962
290	NME7	1	169132531
291	RCSD1	1	167630093
292	TNR	1	175315194
293	SFT2D2	1	168225938
294	UCK2	1	165827614
295	PIGM	1	160024953
296	XCL2	1	168540768
297	POU2F1	1	167220876
298	KIFAP3	1	169921326
299	TBX15	1	118883046
300	CD48	1	160678746
301	RXRG	1	165400922
302	TPR	1	186311652
303	ATP1A2	1	160115759
304	METTL18	1	169792529
305	CHIA	1	111290851
306	EXTL2	1	100872372
307	DDX59	1	200623896
308	NIBAN1	1	184790724
309	OR10J5	1	159535078
310	LAMC2	1	183186238
311	CD58	1	116514534
312	GPA33	1	167052836
313	XCL1	1	168576605
314	KCNJ10	1	159998651
315	NUF2	1	163266576
316	MFSD4A	1	205568885
317	TBX19	1	168280877
318	NR5A2	1	200027614
319	SCYL3	1	169849631
320	DUSP10	1	221701424
321	NMNAT2	1	183248237
322	TARBP1	1	234391313
323	LY9	1	160796074
324	TDRD5	1	179591613
325	SCCPDH	1	246724409
326	ELK4	1	205597556
327	TFB2M	1	246540561
328	LYPLAL1	1	219173869
329	MPZL1	1	167721192
330	INTS7	1	211940399
331	CATSPERE	1	244454377
332	PRDX6	1	173477330
333	EDARADD	1	236348257
334	BRINP3	1	190097658
335	LMX1A	1	165201867
336	ADCY10	1	167809386
337	SELE	1	169722640
338	GPATCH2	1	217426992
339	SMYD2	1	214281102
340	SELL	1	169690665
341	DPT	1	168695468
342	CAPN8	1	223538007
343	RHOU	1	228735479
344	RNF2	1	185045526
345	RGS5	1	163111121
346	SPATA17	1	217631324
347	PRRX1	1	170662728
348	IVNS1ABP	1	185296388
349	ASTN1	1	176857302
350	DTL	1	212035553
351	TRMT1L	1	185118101
352	SOAT1	1	179293714
353	BATF3	1	212686417
354	CNST	1	246566444
355	SOX13	1	204073115
356	NID1	1	235975830
357	ZNF678	1	227563543
358	MRPS14	1	175010789
359	SLC9C2	1	173500460
360	LHX9	1	197911902
361	DESI2	1	244653103
362	SLC26A9	1	205913048
363	SLC45A3	1	205657851
364	ILDR2	1	166895711
365	KIF26B	1	245154985
366	RRP15	1	218285293
367	TMEM59	1	54026681
368	CACYBP	1	174999163
369	PTPN14	1	214348700
370	NEK2	1	211658657
371	C1orf53	1	197902630
372	ITLN2	1	160945025
373	RAB4A	1	229271062
374	TOMM20	1	235109341
375	TADA1	1	166856510
376	REN	1	204154819
377	DHX9	1	182839347
378	BTF3L4	1	52056199
379	SWT1	1	185157080
380	FBXO28	1	224114111
381	COP1	1	175944831
382	SLAMF7	1	160739057
383	RGS18	1	192158462
384	GNPAT	1	231241207
385	TGFB2	1	218345336
386	ODR4	1	186375838
387	FMO4	1	171314183
388	NSL1	1	212726153
389	HFM1	1	91260766
390	ATP1A4	1	160151586
391	GALNT2	1	230057990
392	FMO1	1	171248471
393	SPRTN	1	231337104
394	EGLN1	1	231363751
395	FCRL1	1	157794403
396	GNG4	1	235547685
397	PAPPA2	1	176463171
398	TSNAX-DISC1	1	231528653
399	LRRN2	1	204617170
400	PPP2R5A	1	212285410
401	C1orf100	1	244352635
402	SUCO	1	172532349
403	ATF3	1	212565334
404	RNASEL	1	182573634
405	PLXNA2	1	208022242
406	SPATA45	1	212830141
407	PLA2G4A	1	186828949
408	ETNK2	1	204131062
409	SHCBP1L	1	182899865
410	LPGAT1	1	211743457
411	PROX1	1	213983181
412	PFKFB2	1	207034366
413	NENF	1	212432920
415	TATDN3	1	212791828
416	SELP	1	169588849
417	CAMK1G	1	209583714
418	ZNF672	1	248838210
419	LAMB3	1	209614870
420	DSTYK	1	205142505
421	ARHGEF10L	1	17539698
422	TSNAX	1	231528541
423	NOS1AP	1	162069691
424	GARIN4	1	212624474
425	RNPEP	1	201982372
426	ANGEL2	1	212992182
427	ITLN1	1	160876540
428	KIAA0040	1	175156986
429	RGSL1	1	182409192
430	EXOC8	1	231332753
431	BRINP2	1	177170958
432	NEK7	1	198156994
433	PGBD5	1	230314490
434	ANKRD45	1	173608336
435	ZNF695	1	246945547
436	RPS6KC1	1	213051233
437	TMCC2	1	205227946
438	PM20D1	1	205828025
439	ZNF670-ZNF695	1	246945547
440	NUP133	1	229440259
441	RGS21	1	192316992
442	RGS1	1	192575763
443	PGBD2	1	248906196
444	FLVCR1	1	212858275
445	SLC41A1	1	205789094
446	USH2A	1	215622891
447	ZNF670	1	247034637
448	ADSS2	1	244408494
449	PLD5	1	242082986
450	LMOD1	1	201896456
451	ACBD6	1	180269653
452	ST7L	1	112523514
453	RBBP5	1	205086142
454	XPR1	1	180632022
455	KIF14	1	200551497
456	STYXL2	1	167094075
457	COLGALT2	1	183929854
458	LYPD8	1	248739415
459	PCNX2	1	232983435
460	CNIH3	1	224434660
461	SDCCAG8	1	243256034
462	SLC35F3	1	233904676
463	ZNF281	1	200404940
464	MAEL	1	166975582
465	ARID4B	1	235131634
466	SH3BP5L	1	248810446
467	WNT2B	1	112466541
468	NUCKS1	1	205712822
469	MAP3K21	1	233327724
470	FYB2	1	56718789
471	TIMM17A	1	201955503
472	CDC7	1	91500851
473	TEX50	1	173635338
474	GPR52	1	174447964
475	SMYD3	1	245749342
476	KLHL20	1	173714941
477	NTPCR	1	232950605
478	RAB29	1	205767986
479	KCTD3	1	215567304
480	ZC3H12A	1	37474580
482	HHAT	1	210328252
483	CD244	1	160830160
484	RBM34	1	235131183
485	KCNK1	1	233614106
486	TEDDM1	1	182398117
487	HMCN1	1	185734391
488	PDC	1	186443566
489	CAMK2N1	1	20482391
490	MUL1	1	20499448
491	FAM43B	1	20552573
492	CDA	1	20589086
493	PINK1	1	20633458
494	CDC73	1	193121983
495	B3GALT2	1	193178730
496	LRRC40	1	70144805
497	ANKRD13C	1	70258999
498	CTH	1	70411218
499	E2F2	1	23506438
500	ID3	1	23557926
501	RPL11	1	23691742
502	PITHD1	1	23778418
503	LYPLA2	1	23791145
504	GALE	1	23795599
505	APCS	1	159587826
506	CRP	1	159712289
507	DUSP23	1	159780932
508	FCRL6	1	159800511
509	SLAMF8	1	159826811
510	VSIG8	1	159854316
511	CFAP45	1	159872364
512	SLAMF9	1	159951492
514	ATP1A1	1	116372668
515	ZBTB41	1	197153682
516	EFNA4	1	155063737
517	EFNA4-EFNA3	1	155063748
518	EFNA3	1	155078837
519	EFNA1	1	155127876
520	SLC50A1	1	155135344
521	KRTCAP2	1	155169408
523	THBS3	1	155195588
524	GBA1	1	155234452
525	SCAMP3	1	155255979
526	CLK2	1	155262868
527	HCN3	1	155277463
528	PKLR	1	155289293
529	CR1L	1	207645113
530	CD34	1	207880972
531	PGD	1	10398592
532	CENPS-CORT	1	10430102
533	CENPS	1	10430433
534	DFFA	1	10456522
535	LAX1	1	203765177
537	SNRPE	1	203861599
538	SMPDL3B	1	27935000
539	XKR8	1	27959588
540	FAM89A	1	231018958
541	C1orf131	1	231223763
543	TOE1	1	45340052
544	TESK2	1	45343883
545	CCDC163	1	45493866
546	MMACHC	1	45500300
547	GCSAML	1	247507058
548	OR2G2	1	247588360
549	OR2G3	1	247605586
550	CHRM3	1	239386565
551	FAM102B	1	108560089
552	HENMT1	1	108648290
553	PRPF38B	1	108692310
554	FNDC7	1	108712908
555	STXBP3	1	108746674
556	TMEM167B	1	109090764
557	DAP3	1	155687960
558	SYT11	1	155859567
559	KHDC4	1	155913045
560	SSR2	1	156009048
561	UBQLN4	1	156035299
562	RAB25	1	156061160
563	PMF1-BGLAP	1	156212982
564	BGLAP	1	156242184
565	SMG5	1	156249224
566	TMEM79	1	156282935
567	CCT3	1	156308968
568	RHBG	1	156369211
569	MEX3A	1	156072013
570	CYP4X1	1	47023669
571	CYP4Z1	1	47067231
572	PDZK1IP1	1	47183582
573	FOXE3	1	47416285
574	VHLL	1	156298624
575	LRRC52	1	165544000
576	IGSF3	1	116574399
577	GLUL	1	182378098
578	NTMT2	1	170145959
579	ELAVL4	1	50024029
580	COA6	1	234373456
581	CORT	1	10450031
582	AHCTF1	1	246839098
583	FRRS1	1	99703970
584	LRRC7	1	69567922
585	F13B	1	197038741
586	LEPR	1	65420652
587	PSMD4	1	151254709
588	TAGLN2	1	159918107
589	PEA15	1	160205380
590	H6PD	1	9234774
591	FOXD2	1	47438044
592	DDOST	1	20651767
593	PRG4	1	186296279
594	ST3GAL3	1	43705824
595	SLC1A7	1	53087179
596	ZNF692	1	248850006
597	FGGY	1	59296638
598	DISC1	1	231626790
599	PLA2G2F	1	20139323
600	OLFM3	1	101802560
601	PRXL2B	1	2586491
602	DPM3	1	155139891
603	RXFP4	1	155941638
604	GBP6	1	89364059
605	NPPB	1	11857464
606	KIAA2013	1	11919591
607	PLOD1	1	11934205
608	MIIP	1	12019466
609	TNFRSF8	1	12063303
610	RBBP4	1	32651142
611	SYNC	1	32679906
612	KIAA1522	1	32741830
613	S100PBP	1	32816767
614	FNDC5	1	32862268
615	HPCA	1	32885994
616	TMEM54	1	32894594
617	UFC1	1	161152776
618	PPOX	1	161166056
619	B4GALT3	1	161171310
620	ADAMTS4	1	161184302
621	FCER1G	1	161215234
622	APOA2	1	161222292
623	TOMM40L	1	161225939
624	NR1I3	1	161229666
625	PCP4L1	1	161258745
626	CFAP126	1	161364733
627	GJA5	1	147756199
628	GJA8	1	147902795
629	GPR89B	1	147928393
630	MFN2	1	11980181
631	TMCO2	1	40245947
632	ZMPSTE24	1	40258041
633	COL9A2	1	40300489
634	ZFP69B	1	40450102
635	MPZ	1	161304735
637	MTFR1L	1	25818640
638	AUNIP	1	25831913
639	PAQR7	1	25861484
640	STMN1	1	25884181
641	RNF220	1	44405194
642	TMEM53	1	44635238
643	ARMH1	1	44674692
644	KIF2C	1	44739818
645	RPS8	1	44775251
646	BEST4	1	44783585
647	PLK3	1	44800377
648	PTCH2	1	44819844
649	EIF2B3	1	44850522
650	HECTD3	1	45002540
651	UROD	1	45010950
652	NOL9	1	6521347
653	TAS1R1	1	6555307
654	ZBTB48	1	6579994
656	LRRC8C	1	89633072
657	EPHA8	1	22563489
658	HEATR1	1	236549005
659	MT1HL1	1	237004103
660	STX12	1	27773219
661	PPP1R8	1	27830782
662	THEMIS2	1	27872543
663	RPA2	1	27891524
664	MFAP2	1	16974502
665	ATP13A2	1	16985958
666	SDHB	1	17018722
667	PADI2	1	17066761
668	PADI1	1	17205128
669	PADI3	1	17249098
670	CCN1	1	85580761
671	HHIPL2	1	222522258
672	TAF1A	1	222557902
673	MIA3	1	222618097
674	AIDA	1	222668013
675	BROX	1	222712553
676	TLR5	1	223109404
677	ERMAP	1	42817122
678	ZNF691	1	42846573
679	DISP1	1	222815022
680	HSD3B1	1	119507198
681	ZNF697	1	119619377
682	HMGCS2	1	119748002
683	REG4	1	119794017
684	ADAM30	1	119893533
685	PHGDH	1	119648411
686	INSRR	1	156840063
687	LRRC47	1	3778559
688	TBCE	1	235367360
689	DENND4B	1	153929501
690	CRTC2	1	153947669
691	CREB3L4	1	153967534
692	JTB	1	153974269
694	RAB13	1	153981617
695	RPS27	1	153990762
696	C1orf52	1	85249953
697	CEP104	1	3812086
698	DFFB	1	3857267
700	ACP6	1	147629652
701	C1orf21	1	184387029
702	ZNF436	1	23359448
703	TCEA3	1	23380909
705	B3GALNT2	1	235447190
706	HSPA6	1	161524540
707	PROK1	1	110451149
708	KCNA10	1	110517217
709	KCNA2	1	110519837
710	FDPS	1	155308748
711	GPSM2	1	108875350
712	DYNLT4	1	44805893
713	KCNK2	1	215005775
714	RO60	1	193059454
715	CASQ2	1	115700021
716	SYT6	1	114089291
717	TSACC	1	156337314
718	CFAP57	1	43172330
719	EBNA1BP2	1	43164175
720	WARS2	1	119031216
721	PACC1	1	212363928
722	FAM76A	1	27725961
723	GLRX2	1	193090866
724	USP33	1	77695987
725	PUM1	1	30931506
726	TNFRSF25	1	6460786
727	RCOR3	1	211258377
728	CFAP276	1	109105951
729	ZCCHC17	1	31296982
730	POGK	1	166839447
731	PAQR6	1	156243320
732	RGL1	1	183636085
733	HAO2	1	119368779
734	ITGB3BP	1	63440770
735	TRIM63	1	26051301
736	KCNC4	1	110210314
737	MEAF6	1	37489993
738	C1orf232	1	26164101
739	PPT1	1	40072710
740	PLEKHG5	1	6467122
741	LGALS8	1	236518000
742	MRPL20	1	1401909
743	VWA1	1	1434861
744	ATAD3C	1	1449689
745	ABCB10	1	229516582
746	URB2	1	229626247
747	RNF186	1	19814029
748	OTUD3	1	19882395
749	PLA2G2E	1	19920009
750	OR2M7	1	248323630
751	OR14C36	1	248348775
752	KNCN	1	46545641
753	MKNK1	1	46557407
754	ARTN	1	43933320
755	IPO13	1	43946950
756	ATP6V0B	1	43974487
757	CCDC24	1	43991359
758	SLC6A9	1	43991500
759	OR2T3	1	248473351
760	OR2T5	1	248488589
761	OR2T34	1	248573801
762	OR14I1	1	248681322
763	LCE3B	1	152613811
764	LCE3A	1	152622834
765	LCE2D	1	152663380
766	LCE2B	1	152686123
767	LCE2A	1	152698345
768	PRAMEF15	1	13315581
769	PRAMEF14	1	13341892
770	PRAMEF17	1	13389632
771	EPHX4	1	92029985
772	FNDC10	1	1598012
773	MMP23B	1	1632163
774	SLC35E2B	1	1659529
775	CDK11A	1	1702379
776	NADK	1	1751232
777	TMEM52	1	1917590
778	CD1A	1	158254424
779	CD1C	1	158289923
780	CD1B	1	158327951
781	CD1E	1	158353696
782	OR10T2	1	158398522
783	DR1	1	93345907
784	MAPKAPK2	1	206684905
785	IL24	1	206897443
786	FCMR	1	206903317
787	PIGR	1	206928522
788	FCAMR	1	206957965
789	C1orf116	1	207018522
790	PRMT6	1	107056674
791	SH3BGRL3	1	26280086
792	CD52	1	26317958
793	ZNF683	1	26361634
794	TINAGL1	1	31576485
795	PEF1	1	31629866
796	ORC1	1	52372829
797	SDE2	1	225982702
798	H3-3A	1	226061851
799	ACBD3	1	226144679
800	MIXL1	1	226223618
801	DEGS1	1	224175756
802	NVL	1	224227334
803	CNIH4	1	224356858
804	BMP8A	1	39491636
805	HEYL	1	39623435
806	HPCAL4	1	39678648
807	PABPC4	1	39560709
808	ECM1	1	150508062
809	ENSA	1	150600851
810	GOLPH3L	1	150646230
811	HORMAD1	1	150698060
812	MCL1	1	150560895
813	WNT3A	1	228006998
814	C1orf35	1	228100726
815	MRPL55	1	228106679
816	GJC2	1	228149930
817	IBA57	1	228165804
818	TRIM11	1	228393673
819	TRIM17	1	228407935
820	PPIH	1	42658335
821	YBX1	1	42682418
822	CLDN19	1	42733093
823	P3H1	1	42746335
824	STPG1	1	24356999
825	NIPAL3	1	24415802
826	RCAN3	1	24502351
827	NCMAP	1	24556087
828	JUN	1	58776845
829	ASH1L	1	155335268
830	TXLNA	1	32179675
831	IQCC	1	32205671
832	FAM167B	1	32247222
833	HDAC1	1	32292083
834	MARCKSL1	1	32333839
835	TSSK3	1	32351521
836	SLC16A4	1	110362851
837	LAMTOR5	1	110401249
838	YTHDF2	1	28736621
839	TMEM200B	1	29119429
840	MECR	1	29192657
842	HLX	1	220879431
843	MARK1	1	220528136
844	C1orf115	1	220690363
845	DARS2	1	173824653
846	RC3H1	1	173931084
847	INKA2	1	111680630
848	RAB7B	1	205976740
849	F11R	1	160995211
851	TSTD1	1	161037631
852	USF1	1	161039251
853	ARHGAP30	1	161046946
854	NECTIN4	1	161070998
855	KLHDC9	1	161098361
856	PFDN2	1	161100556
857	NIT1	1	161118086
858	DEDD	1	161120974
859	CTSE	1	206008535
860	COQ8A	1	226940286
861	AKIRIN1	1	38991276
862	NDUFS5	1	39026318
864	LRIF1	1	110947190
865	DENND2D	1	111185969
866	CHI3L2	1	111200771
867	DRAM2	1	111117163
868	SHE	1	154469772
869	PLA2G2C	1	20161253
870	SDHC	1	161314381
871	ARNT	1	150809713
872	PARP1	1	226360210
873	NDUFS2	1	161197104
875	PRDX1	1	45510914
876	NASP	1	45583846
877	CCDC17	1	45620044
878	GPBP1L1	1	45627304
879	TMEM69	1	45688181
880	SLC39A1	1	153959099
881	SERBP1	1	67407810
882	MIER1	1	66924895
883	SLC45A1	1	8318114
884	KIF17	1	20664014
885	ZNF669	1	247099962
886	UCHL5	1	193012250
887	SMIM1	1	3772749
888	RNF19B	1	32936445
889	GMEB1	1	28668778
890	CC2D1B	1	52345723
891	DAB1	1	56994778
892	LRRC8B	1	89524829
893	BTBD8	1	92080305
894	ZC3H11A	1	203795623
895	CAP1	1	40040233
896	HSPB11	1	53916574
897	EPHB2	1	22710839
898	TMCO1	1	165724293
899	CDK11B	1	1635225
900	ACOT11	1	54542257
901	AKR1A1	1	45550543
902	KCNT2	1	196225779
903	CTSK	1	150794880
904	HMGB4	1	33860475
905	AZIN2	1	33081104
906	TRIM62	1	33145399
907	CTSS	1	150730079
908	LIN9	1	226231149
909	PRAMEF27	1	13049476
910	HNRNPCL2	1	13115488
911	HNRNPCL4	1	13163914
912	RBMXL1	1	88979456
913	GBP3	1	89006679
914	GBP1	1	89051882
915	GBP2	1	89106132
916	GBP7	1	89131742
917	GBP4	1	89181144
918	AHDC1	1	27534035
919	FGR	1	27612064
920	IFI6	1	27666064
921	HNRNPCL3	1	13060769
922	IFI44L	1	78619902
923	CYB561D1	1	109494052
924	AMIGO1	1	109504178
925	GNAI3	1	109548615
926	GNAT2	1	109603091
927	PTGS2	1	186671791
928	DDAH1	1	85318481
929	SLC16A1	1	112911847
930	NGF	1	115285904
931	NOC2L	1	944203
932	PLEKHN1	1	966482
933	HES4	1	998962
934	ISG15	1	1001138
935	AGRN	1	1020120
937	MRPL37	1	54184041
938	SERPINC1	1	173903800
939	COG2	1	230642481
940	CAPN9	1	230747384
941	C1orf198	1	230837119
942	IFI44	1	78649796
943	TDRD10	1	154502219
944	UBE2Q1	1	154548577
945	ADAR	1	154581695
946	TEX38	1	46668855
947	EFCAB14	1	46674659
948	PSEN2	1	226870184
949	FCRLA	1	161706972
950	DUSP12	1	161749758
951	TRAF5	1	211326615
952	SLC30A1	1	211571568
953	RD3	1	211476522
954	ATF6	1	161766298
955	RABGGTB	1	75786197
956	MSH4	1	75796882
957	DENND1B	1	197504748
958	CRB1	1	197268204
959	MPL	1	43337818
960	CDC20	1	43358981
961	ELOVL1	1	43363398
962	MED8	1	43383917
963	AMPD2	1	109616104
964	ASPM	1	197084121
965	AKT3	1	243488233
966	C1orf174	1	3889125
967	IQGAP3	1	156525405
968	NAXE	1	156591756
969	HAPLN2	1	156619331
970	BCAN	1	156641390
971	NES	1	156668763
972	CRABP2	1	156699606
973	ISG20L2	1	156721891
974	METTL25B	1	156728442
975	MRPL24	1	156737303
976	HDGF	1	156742109
977	PRCC	1	156750610
978	SH2D2A	1	156806243
979	RNF11	1	51236273
980	RNF223	1	1070967
981	C1orf159	1	1081818
982	TTC39A	1	51287258
983	SAMD11	1	923923
984	MFSD14A	1	100038095
985	SASS6	1	100083563
986	LRRC39	1	100148448
987	DBT	1	100186919
988	RTCA	1	100266216
989	BRDT	1	91949343
990	KHDRBS1	1	32013868
991	TMEM39B	1	32072031
992	KPNA6	1	32108056
993	CCDC28B	1	32200595
994	DDX20	1	111754832
995	RPL5	1	92832013
996	DIPK1A	1	92832737
997	MTF2	1	93079235
998	SH2D5	1	20719731
999	ECE1	1	21217247
1000	SUSD4	1	223220819
1001	CCDC185	1	223393415
1002	LRRIQ3	1	74026015
1003	TNNI3K	1	74235387
1004	LRRC53	1	74469376
1005	ERICH3	1	74568117
1006	CRYZ	1	74705482
1007	TYW3	1	74733152
1008	FPGT-TNNI3K	1	74198235
1009	OBSCN	1	228208044
1010	H3C13	1	149813225
1011	H2AC20	1	149886918
1012	H2AC21	1	149887469
1013	BOLA1	1	149887890
1014	SV2A	1	149903318
1015	SF3B4	1	149923317
1016	FCGR1A	1	149782671
1017	GPR25	1	200872981
1018	KIF21B	1	200969390
1019	TMEM9	1	201134772
1020	IGFN1	1	201190824
1021	CACNA1S	1	201039512
1022	SAMD13	1	84298366
1023	TMEM81	1	205083129
1024	MTR	1	236795260
1025	SRP9	1	225777813
